URL,Name,Stars,Total_Reviews
https://play.google.com/store/apps/details?id=com.grability.rappi,Rappi,4.2,"14,08,713"
https://play.google.com/store/apps/details?id=app.circle.foodmood,FoodMood - Online Food Delivery,3.1,175
https://play.google.com/store/apps/details?id=com.kfc.ksa,KFC Saudi - Order food online from KFC Delivery!,4.3,"5,318"
https://play.google.com/store/apps/details?id=com.nukeboxstudios.foodtruckchef,Food Truck Chef™ Emily's Restaurant Cooking Games,4.3,"2,67,178"
https://play.google.com/store/apps/details?id=com.foosto.app,foosto,3.6,268
https://play.google.com/store/apps/details?id=com.woowahan.vn.baemin,BAEMIN - Food delivery app,4.2,"52,024"
https://play.google.com/store/apps/details?id=com.bungkusit,Bungkusit - Food and Parcel Delivery,4.5,"17,616"
https://play.google.com/store/apps/details?id=com.easi.customer,EASI - Food Delivery,4.9,"6,484"
https://play.google.com/store/apps/details?id=app.yummy.ps,Yummy: Order Food Online from Palestine,4.6,488
https://play.google.com/store/apps/details?id=com.takeaway.android,Thuisbezorgd.nl - Order food online,4.4,"69,736"
https://play.google.com/store/apps/details?id=com.menulog.m,Menulog AU | Online Food Delivery,4.5,"74,944"
https://play.google.com/store/apps/details?id=com.aisavent.hungrynaki,HungryNaki - Online Food Delivery in Bangladesh,4.2,"4,661"
https://play.google.com/store/apps/details?id=com.eat.ch,EAT.ch - Order food online,4.3,"10,817"
https://play.google.com/store/apps/details?id=app.mycountrydelight.in.countrydelight,"Country Delight: Milk Delivery, Vegetable, Grocery",3.9,"17,747"
https://play.google.com/store/apps/details?id=id.food.android,FOOD.ID - Buy and Sell Groceries Online,4.1,191
https://play.google.com/store/apps/details?id=at.lieferservice.android,Lieferando.at - Order food,4.5,"27,761"
https://play.google.com/store/apps/details?id=com.foody.vn.activity,Foody - Find Reserve Delivery,4.1,"28,869"
https://play.google.com/store/apps/details?id=com.bloop.food,Food Gang,4,"42,878"
https://play.google.com/store/apps/details?id=com.main.gopuff,Gopuff—Alcohol & Food Delivery,4.2,"30,509"
https://play.google.com/store/apps/details?id=ph.ordermo.app,ordermo - Hassle-Free Delivery Service and more!,4.6,"1,812"
https://play.google.com/store/apps/details?id=com.codingate.rma,Hungry?,4.3,141
https://play.google.com/store/apps/details?id=com.empire,Hotel Empire -Food Order & Delivery,3.1,"5,348"
https://play.google.com/store/apps/details?id=be.pizza.android,Takeaway.com - Belgium,4.4,"26,141"
https://play.google.com/store/apps/details?id=com.mojopizza,MOJO Pizza - Order Pizza Online | Pizza Delivery,4.5,"43,863"
